XCoord,YCoord,FID,ADDRESS,HERITAGE_D,BUILDING_N
-83.00833622,42.32224735,499,796 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00839768,42.32232444,500,786 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00908870,42.32209587,501,783 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00913957,42.32216551,502,779 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00848426,42.32246231,503,766 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00917324,42.32221624,504,765 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00921311,42.32227597,505,763 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00926041,42.32234191,506,747 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00929679,42.32240547,507,745 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00934029,42.32247079,508,729 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00938565,42.32253240,509,725 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00861047,42.32266259,510,734 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00866411,42.32273674,511,724 Monmouth Rd,Heritage Register: Listed,Semi-Detached House
-83.00943740,42.32260897,512,705 Monmouth Rd,Heritage Register: Listed,House
-83.00892845,42.32335187,513,628 Monmouth Rd,Heritage Register: Listed,Walkerside Dairy
-83.02934549,42.31377986,514,840 Mercer St,Heritage Register: Listed,Parker Homestead House
-82.98319794,42.30477245,515,1980 Meldrum Rd / Tecumseh Rd E,Heritage Register: Listed,Grachanica Serbian Orthodox Church
-82.98610197,42.30560581,516,1847 Meldrum Rd,Heritage Register: Listed,St. Bernard School
-83.05947654,42.31445033,517,131 McEwan Ave,Heritage Register: Listed,Sheriff McEwan House
-83.03149051,42.31336299,518,795 McDougall St,Heritage Register: Designated,Mount Zion Church of God in Christ
-83.03244803,42.31629820,519,572 McDougall St,Heritage Register: Listed,Border Cities Arena
-83.02468678,42.31785181,520,821 Wyandotte St E / 686 Marentette Ave,Heritage Register: Listed,Immaculate Conception Church & Rectory
-83.05993515,42.26901062,521,4688 Malden Rd,Heritage Register: Listed,House
-83.02382544,42.31300663,522,708 Erie St E / 980 Louis Ave,Heritage Register: Listed,Sant'Angela Merici Church
-83.02913223,42.32015159,523,293 Louis Ave,Heritage Register: Listed,House
-83.00363511,42.30318986,524,1728 Lincoln Rd,Heritage Register: Listed,Emmanuel United Church / Ottawa United Ch.
-83.01581268,42.32094470,525,651-59 Lincoln Rd,Heritage Register: Listed,Lincoln Road United Church & Hall
-83.01701060,42.32282018,526,427 Lincoln Rd,Heritage Register: Listed,Robert Kerr House
-83.01722856,42.32434745,527,286 Lincoln Rd,Heritage Register: Listed,Fred W. Marshall House
